trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-171.85395613514004,"{0: 7, 1: 1, 2: 9, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-212.4961121975277,"{0: 12, 1: 3, 2: 3, 3: 5, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,1,-93.96382910702347,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-194.33560477621168,"{0: 14, 1: 1, 2: 6, 3: 1, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-108.65818580605387,"{0: 12, 1: 6, 2: 5, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-165.11149026727625,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,7,-188.43981197069138,"{0: 7, 1: 3, 2: 4, 3: 1, 4: 3}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-18.179319324746434,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-207.95728685039543,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-50.29627084178132,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-158.3255299811204,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-91.12448764354026,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",35,0,-135.53970332832597,"{0: 26, 1: 0, 2: 4, 3: 4, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-133.59089331051229,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,14,9.300648643188076,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,14,-52.096605605335014,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-150.49017694628023,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,12,-41.22678824526443,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,3,-54.81835122144411,"{0: 14, 1: 0, 2: 0, 3: 2, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,20,-98.4889426977431,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 2}",1
1,True,"{'a': 0, 'e': 0}",35,18,-52.64690754197408,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 2}",1
2,True,"{'a': 0, 'e': 0}",20,0,-119.25455617946606,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 3}",0
3,True,"{'a': 0, 'e': 0}",20,0,28.403387681940288,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-115.27265013144049,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
5,True,"{'a': 0, 'e': 0}",20,0,-123.4992888766062,"{0: 15, 1: 0, 2: 0, 3: 3, 4: 2}",1
6,True,"{'a': 0, 'e': 0}",25,0,-143.06801496735835,"{0: 13, 1: 5, 2: 2, 3: 4, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,6,-35.3679809355175,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",25,0,-228.1418274287107,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 5}",0
9,True,"{'a': 0, 'e': 0}",20,0,-184.13123830139978,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 5}",0
10,True,"{'a': 0, 'e': 0}",30,0,-238.19943454410028,"{0: 21, 1: 0, 2: 2, 3: 2, 4: 5}",0
