trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.2, 'e': 0.9801986733067553}",35,0,-108.09355629676367,"{0: 22, 1: 2, 2: 10, 3: 1, 4: 0}",0
2,False,"{'a': 0.2, 'e': 0.9607894391523232}",25,0,-112.55459979430293,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
3,False,"{'a': 0.2, 'e': 0.9417645335842487}",20,0,-54.758012934350404,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
4,False,"{'a': 0.2, 'e': 0.9231163463866358}",30,5,-49.23565851215349,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.2, 'e': 0.9048374180359595}",20,0,-192.09289701638681,"{0: 10, 1: 1, 2: 4, 3: 2, 4: 3}",0
6,False,"{'a': 0.2, 'e': 0.8869204367171575}",25,0,-64.86645225521977,"{0: 17, 1: 4, 2: 2, 3: 2, 4: 0}",0
7,False,"{'a': 0.2, 'e': 0.8693582353988059}",25,0,-116.83928611722666,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
8,False,"{'a': 0.2, 'e': 0.8521437889662113}",20,0,-80.6151454550195,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
9,False,"{'a': 0.2, 'e': 0.835270211411272}",20,0,-125.35791756017028,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.2, 'e': 0.8187307530779818}",25,0,-170.89425319324891,"{0: 13, 1: 1, 2: 8, 3: 1, 4: 2}",0
11,False,"{'a': 0.2, 'e': 0.8025187979624785}",25,0,-152.1386176277776,"{0: 13, 1: 3, 2: 5, 3: 3, 4: 1}",0
12,False,"{'a': 0.2, 'e': 0.7866278610665535}",25,3,-38.6673320214248,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 0}",1
13,False,"{'a': 0.2, 'e': 0.7710515858035663}",30,0,-87.78618097350376,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.2, 'e': 0.7557837414557255}",25,0,-81.7646778183466,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
15,False,"{'a': 0.2, 'e': 0.7408182206817179}",20,0,-164.67299157481204,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.2, 'e': 0.7261490370736909}",35,0,-125.87946754049946,"{0: 25, 1: 2, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.2, 'e': 0.7117703227626097}",20,0,-89.93844538865608,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
18,False,"{'a': 0.2, 'e': 0.697676326071031}",30,0,-120.87215069345159,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
19,False,"{'a': 0.2, 'e': 0.6838614092123558}",20,0,-154.72418780224055,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
20,False,"{'a': 0.2, 'e': 0.6703200460356393}",20,0,-55.25573874426156,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
21,False,"{'a': 0.2, 'e': 0.6570468198150567}",30,7,-50.42936895292037,"{0: 19, 1: 0, 2: 2, 3: 1, 4: 1}",1
22,False,"{'a': 0.2, 'e': 0.6440364210831414}",20,0,-25.45582207080359,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
23,False,"{'a': 0.2, 'e': 0.631283645506926}",25,0,-60.16492361822316,"{0: 19, 1: 3, 2: 1, 3: 1, 4: 1}",1
24,False,"{'a': 0.2, 'e': 0.6187833918061408}",30,0,-71.93020856961746,"{0: 22, 1: 4, 2: 2, 3: 1, 4: 1}",0
25,False,"{'a': 0.2, 'e': 0.6065306597126334}",25,10,-39.384717479061266,"{0: 10, 1: 0, 2: 5, 3: 0, 4: 0}",1
26,False,"{'a': 0.2, 'e': 0.5945205479701944}",20,0,-85.87588146960617,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
27,False,"{'a': 0.2, 'e': 0.5827482523739896}",20,0,-79.03669402930605,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
28,False,"{'a': 0.2, 'e': 0.5712090638488149}",30,10,-52.81115410130485,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",1
29,False,"{'a': 0.2, 'e': 0.559898366565402}",20,0,-57.7566712861702,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
30,False,"{'a': 0.2, 'e': 0.5488116360940265}",20,9,-29.91227825401104,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
31,False,"{'a': 0.2, 'e': 0.5379444375946745}",20,0,-113.33532574450173,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
32,False,"{'a': 0.2, 'e': 0.5272924240430485}",30,4,-90.90296938668641,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 1}",1
33,False,"{'a': 0.2, 'e': 0.5168513344916992}",30,1,-52.86106773772781,"{0: 23, 1: 4, 2: 0, 3: 1, 4: 1}",1
34,False,"{'a': 0.2, 'e': 0.5066169923655895}",20,0,-153.3601234974735,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
35,False,"{'a': 0.2, 'e': 0.49658530379140947}",25,8,-73.93909456101498,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
36,False,"{'a': 0.2, 'e': 0.4867522559599717}",20,6,-6.869022448615747,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
37,False,"{'a': 0.2, 'e': 0.4771139155210344}",20,0,-3.6837762999627057,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
38,False,"{'a': 0.2, 'e': 0.46766642700990924}",20,3,-43.808542578860866,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
39,False,"{'a': 0.2, 'e': 0.4584060113052235}",20,0,-178.69439503434683,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
40,False,"{'a': 0.2, 'e': 0.44932896411722156}",20,9,-18.746496694412016,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
41,False,"{'a': 0.2, 'e': 0.44043165450599925}",20,0,-65.32914644356165,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
42,False,"{'a': 0.2, 'e': 0.43171052342907973}",20,8,-8.895612227343717,"{0: 10, 1: 1, 2: 0, 3: 1, 4: 0}",1
43,False,"{'a': 0.2, 'e': 0.4231620823177488}",25,3,-39.42227780667691,"{0: 18, 1: 2, 2: 1, 3: 0, 4: 1}",1
44,False,"{'a': 0.2, 'e': 0.4147829116815814}",30,0,-59.8788320787255,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
45,False,"{'a': 0.2, 'e': 0.4065696597405991}",20,0,-4.078710822923124,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
46,False,"{'a': 0.2, 'e': 0.39851904108451414}",20,5,-4.664719265558182,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
47,False,"{'a': 0.2, 'e': 0.3906278353585211}",20,7,-6.806786929947933,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
48,False,"{'a': 0.2, 'e': 0.38289288597511206}",20,0,-0.3113462975698107,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
49,False,"{'a': 0.2, 'e': 0.37531109885139957}",20,4,-101.42429541944874,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 2}",1
50,False,"{'a': 0.2, 'e': 0.36787944117144233}",25,0,-174.9053489292093,"{0: 17, 1: 0, 2: 2, 3: 3, 4: 3}",0
51,False,"{'a': 0.2, 'e': 0.3605949401730783}",30,0,-72.06843379065798,"{0: 26, 1: 1, 2: 0, 3: 1, 4: 2}",0
52,False,"{'a': 0.2, 'e': 0.35345468195878016}",30,8,-4.299302157093035,"{0: 19, 1: 1, 2: 1, 3: 1, 4: 0}",1
53,False,"{'a': 0.2, 'e': 0.3464558103300574}",35,0,-20.388649504015724,"{0: 29, 1: 3, 2: 2, 3: 1, 4: 0}",0
54,False,"{'a': 0.2, 'e': 0.3395955256449391}",20,0,6.951832159989872,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
55,False,"{'a': 0.2, 'e': 0.33287108369807955}",20,11,14.288051918082882,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.2, 'e': 0.32627979462303947}",20,8,-8.19318011655951,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
57,False,"{'a': 0.2, 'e': 0.31981902181630384}",20,0,-27.179772781878437,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
58,False,"{'a': 0.2, 'e': 0.3134861808826053}",25,17,-37.231785710637276,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
59,False,"{'a': 0.2, 'e': 0.30727873860113125}",20,7,14.79622048535952,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.2, 'e': 0.30119421191220214}",25,18,7.4311025435792235,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.2, 'e': 0.2952301669240142}",25,0,-6.82772803328103,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
62,False,"{'a': 0.2, 'e': 0.2893842179390506}",20,0,-63.66281547292918,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
63,False,"{'a': 0.2, 'e': 0.2836540264997704}",25,15,-36.5396601870961,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
64,False,"{'a': 0.2, 'e': 0.27803730045319414}",25,3,-50.163523488331236,"{0: 18, 1: 1, 2: 1, 3: 1, 4: 1}",1
65,False,"{'a': 0.2, 'e': 0.2725317930340126}",20,0,-36.48188011685165,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
66,False,"{'a': 0.2, 'e': 0.26713530196585034}",20,14,13.384359682177452,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.2, 'e': 0.261845668580326}",20,3,24.354945377931504,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.2, 'e': 0.2566607769535559}",25,4,5.7161531743997855,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 0}",1
69,False,"{'a': 0.2, 'e': 0.25157855305975646}",25,7,1.2564113780731807,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.2, 'e': 0.24659696394160643}",20,3,-12.047606968032442,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 0}",1
71,False,"{'a': 0.2, 'e': 0.24171401689703645}",25,9,19.4525742105824,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
72,False,"{'a': 0.2, 'e': 0.23692775868212176}",25,15,7.814083858176347,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.2, 'e': 0.23223627472975883}",25,0,-86.1437952693913,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
74,False,"{'a': 0.2, 'e': 0.22763768838381274}",25,0,30.76444793647213,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.2, 'e': 0.22313016014842982}",25,2,3.795482880936661,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.2, 'e': 0.21871188695221475}",20,0,-44.83545308112138,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
77,False,"{'a': 0.2, 'e': 0.21438110142697794}",25,13,11.80347571593836,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.2, 'e': 0.21013607120076472}",30,18,-3.661575917009543,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
79,False,"{'a': 0.2, 'e': 0.20597509820488344}",35,6,-158.75622137022674,"{0: 20, 1: 3, 2: 1, 3: 2, 4: 3}",1
80,False,"{'a': 0.2, 'e': 0.20189651799465538}",25,18,13.44609407317741,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.2, 'e': 0.19789869908361465}",25,19,9.29731722445235,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.2, 'e': 0.19398004229089189}",20,0,24.89646900392485,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.2, 'e': 0.1901389801015205}",20,14,10.361343257535438,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.2, 'e': 0.18637397603940997}",20,3,-74.30019995791149,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 2}",1
85,False,"{'a': 0.2, 'e': 0.18268352405273466}",25,10,9.441127492323393,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.2, 'e': 0.17906614791149322}",20,0,-50.53612802464504,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
87,False,"{'a': 0.2, 'e': 0.17552040061699686}",20,3,-48.17649386648909,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 1}",1
88,False,"{'a': 0.2, 'e': 0.17204486382305054}",25,16,14.818476368101479,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.2, 'e': 0.1686381472685955}",25,15,15.546102572153949,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.2, 'e': 0.16529888822158653}",25,3,-23.29524677580066,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 1}",1
91,False,"{'a': 0.2, 'e': 0.16202575093388075}",30,6,-26.420073741611795,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 1}",1
92,False,"{'a': 0.2, 'e': 0.15881742610692068}",30,22,15.345474579346869,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.2, 'e': 0.1556726303679973}",20,0,-14.567982714058143,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
94,False,"{'a': 0.2, 'e': 0.15259010575688386}",20,9,0.23052754606125503,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.2, 'e': 0.14956861922263504}",35,14,34.795627479883535,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.2, 'e': 0.14660696213035015}",30,17,-10.700900033133587,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
97,False,"{'a': 0.2, 'e': 0.14370394977770293}",30,0,-79.1392663378343,"{0: 24, 1: 2, 2: 2, 3: 0, 4: 2}",0
98,False,"{'a': 0.2, 'e': 0.140858420921045}",20,10,6.9091801171593685,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.2, 'e': 0.13806923731089282}",20,5,10.101932170991123,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
