trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-175.26381846094336,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-188.11039467163027,"{0: 9, 1: 2, 2: 5, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-177.59819156300532,"{0: 22, 1: 5, 2: 5, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-62.49839397529868,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-70.6813949986821,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-225.85458202927498,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 5}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-112.45260255776384,"{0: 9, 1: 4, 2: 6, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-175.83442168097054,"{0: 12, 1: 7, 2: 3, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-106.30118259553973,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-79.15009021262136,"{0: 13, 1: 5, 2: 0, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,9,-47.50245371964115,"{0: 11, 1: 3, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-126.43832759651714,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-18.239375738887425,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-77.51563495101816,"{0: 10, 1: 3, 2: 7, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-140.20244882521624,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-181.76823927648812,"{0: 18, 1: 1, 2: 8, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-40.18434514844769,"{0: 16, 1: 6, 2: 3, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-103.7139247154421,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-177.52161065467703,"{0: 14, 1: 5, 2: 9, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-33.737328700965925,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,0,-95.53515095243736,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,0,-49.03033591856918,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",35,0,-158.63681061693174,"{0: 21, 1: 3, 2: 9, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",20,0,-56.1817277313782,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",1
5,True,"{'a': 0, 'e': 0}",20,0,-120.00938567726052,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
6,True,"{'a': 0, 'e': 0}",20,0,-220.75516523832704,"{0: 7, 1: 4, 2: 5, 3: 0, 4: 4}",0
7,True,"{'a': 0, 'e': 0}",25,0,-133.97997036737428,"{0: 13, 1: 7, 2: 3, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,1,-37.36210848150547,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,2,-178.29896575413503,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 3}",1
10,True,"{'a': 0, 'e': 0}",30,0,-131.06957088658703,"{0: 23, 1: 1, 2: 3, 3: 0, 4: 3}",0
